YearsExperience,Salary
1.2000000000000002,"39,344.0"
1.4000000000000001,"46,206.0"
1.6,"37,732.0"
2.1,"43,526.0"
2.3000000000000003,"39,892.0"
3.0,"56,643.0"
3.1,"60,151.0"
3.3000000000000003,"54,446.0"
3.3000000000000003,"64,446.0"
3.8000000000000003,"57,190.0"
4.0,"63,219.0"
4.1,"55,795.0"
4.1,"56,958.0"
4.199999999999999,"57,082.0"
4.6,"61,112.0"
5.0,"67,939.0"
5.199999999999999,"66,030.0"
5.3999999999999995,"83,089.0"
6.0,"81,364.0"
6.1,"93,941.0"
6.8999999999999995,"91,739.0"
7.199999999999999,"98,274.0"
8.0,"101,303.0"
8.299999999999999,"113,813.0"
8.799999999999999,"109,432.0"
9.1,"105,583.0"
9.6,"116,970.0"
9.7,"112,636.0"
10.4,"122,392.0"
10.6,"121,873.0"
